Name,Website,Tags,Description,Image,Contact
Heroic,https://heroic-online.com/,"Artisan, Minimalist","Womenswear built around the perfect pair of pants — comfortable, flattering fits that carry you from morning to night without compromise.",https://heroic-online.com/cdn/shop/files/0471-heroic-24-03-26.jpg?v=1774726628&width=800,
Hila Feinberg,https://hilafeinberg.com/,"Minimalist, Artisan","Minimalist, oversize Israeli womenswear for those who dress with intention. Hila Feinberg creates space for the woman inside the garment.",https://hilafeinberg.com/cdn/shop/files/forwebsite-267_1899x.jpg?v=1734866867,
Holyland Civilians,https://holylandcivilians.com/,"Streetwear, Activewear","Edgy Mediterranean streetwear and activewear with a clubwear edge — designed for all genders, for the track, the rave, and everywhere between. Body-con, all-black, and unapologetically bold.",https://holylandcivilians.com/cdn/shop/files/IMG_6185-color.jpg?v=1769723876&width=480,
CALA,https://cala.co.il/,Artisan,"Tel Aviv boutique chain founded 2002 — fashion that listens. A personal, intuitive approach to style selection, celebrating individuality at every size, every age, every occasion. Known for its strong vintage and seasonal collections.",https://cala.co.il/cdn/shop/files/RefaelMizrahifashionphotography_1108_dee8b78f-3b73-4e27-a046-f4bd841884ba.jpg?v=1753288930&width=1400,
JOR-D,https://jor-d.com/,"Streetwear, Artisan","Every garment is a canvas, every design a message. Tel Aviv-based statement fashion with a collaborative spirit — from studio appointments on Remez Street to drops with Blundstone and beyond. Wear the story.",https://jor-d.com/wp-content/uploads/2026/01/MICHALl-911-1.jpg,
Itay Brands,https://itaybrands.co.il/,"Minimalist, Menswear","It's all about the basics. A beloved Israeli chain offering sharp, affordable everyday wear for women and men — clean cuts, great fits, and the kind of wardrobe staples you reach for every day. (by Claude)",https://itaybrands.co.il/cdn/shop/files/868b1d6cd000aa1901415efa6dab312b.jpg?crop=center&height=1018&v=1763904574&width=1410,
NewG Lingerie,https://newglingerie.com/,"Lingerie, Activewear","Founded by Alex, NewG exists to solve the lingerie problem for larger cup sizes who want pretty, comfortable and supportive bras. Wire-free bras in every size and style, from everyday to nursing to sport, designed with real bodies in mind.",https://newglingerie.com/cdn/shop/files/2-modells-withsupport-tank-top-large-breasts-built-in-bra-front-view-black-brown.webp?v=1773519588,
Maya Bash,https://www.mayabash.com/,"Artisan, Minimalist","Established fashion designer with over 20 years of experience. Maya Bash combines minimalist, gender-neutral aesthetics with precise tailoring, conceptual innovation, and socially conscious values - multidisciplinary, sustainable, and deeply collaborative.",https://www.mayabash.com/f-users/user_106647/website_205343/images/img_6854.jpg,
On'nanoko,https://www.onnanoko.co.il/,"Artisan, Minimalist, Menswear","Seasonal Israeli fashion from Kibbutz Ma'agan Michael — collections like ECLIPSE and PULSE that push a refined, considered aesthetic for women and a growing menswear line. Quietly one of Israel's most distinctive voices.",https://www.onnanoko.co.il/cdn/shop/files/227308BOXITOP227486MERGEPANTS_16.jpg?v=1771416183&width=960,
OM-ME,https://www.ommetlv.com/,"Activewear, Sustainable, Minimalist","Tel Aviv activewear and basics for the in-between moments. OM-ME designs for real bodies - sustainable fabrics, local production, and the kind of comfort you reach for every day. Store on Ben Yehuda 96.","https://static.wixstatic.com/media/86f77e_f6e859b02eb147d0b5847fd2a1e9ad92~mv2.jpg/v1/fill/w_441,h_589,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/86f77e_f6e859b02eb147d0b5847fd2a1e9ad92~mv2.jpg",
Blueberry TLV,https://blueberrytlv.co.il/,"Artisan, Contemporary","A fresh Tel Aviv label with a playful, considered approach to everyday womenswear — vibrant, wearable, and distinctly local.",https://blueberrytlv.co.il/cdn/shop/files/WhatsAppImage2026-02-16at16.46.55.jpg?v=1771266050&width=700,
Hila Shemesh,https://hilashemesh.com/,"Artisan, Minimalist","Israeli womenswear with a careful, artisan-led approach — each piece considered, each season deliberate. Hila Shemesh designs for the woman who values craft over noise.",https://hilashemesh.com/cdn/shop/files/5_bda078fa-5477-4095-8394-4b9494d6a3bf.jpg?v=1747813836&width=713,
IDEE,https://idee.co.il/en,"Artisan, Minimalist","Israeli design rooted in idea — IDEE creates womenswear that lives in the space between structure and ease, with a clean, modern sensibility.",https://idee.co.il/cdn/shop/files/Unknown_26.jpg?v=1776154792&width=713,
Ugly Duckling TLV,https://gal-angel.com/,"Swimwear, Lingerie","A Tel Aviv fashion house born in summer 2008 — specialising in flattering women's swimwear with a retro-nostalgic spirit, plus lightweight, comfortable lingerie made and available year-round.",https://gal-angel.com/cdn/shop/files/DSC_2557_1024x1024.jpg?v=1724230686,
Dodo Bar Or,https://www.dodobaror.com/,"Luxury, Prints, Artisan","Tel Aviv's most internationally celebrated bohemian label. Dodo Bar Or's floral, feminine, and free-spirited collections are stocked at Net-a-Porter and Matchesfashion — a beloved name on the global luxury circuit.",https://dodobaror.online/cdn/shop/files/IMG_4272_b116de9f-4452-4602-8f02-5cc9f2c68a2a.jpg?v=1722861928&width=750,
Maskit,https://maskit.com/,"Artisan, Heritage, Luxury","Founded in 1954 by Ruth Dayan, Maskit is Israel's first and only haute couture house — preserving traditional crafts while dressing the world's most influential women. Revived in 2014 by Sharon Tal (Shenkar / LANVIN / Alexander McQueen), it now spans Haute, RTW, and a curated multi-artist shop.",https://maskit.com/cdn/shop/files/Maskit_11-03-26_3167.jpg?v=1773583176&width=1800,
Pioo Pioo,https://pioopioo.com/,"Artisan, Luxury, Prints","Founded in 2008 by Mor Valin (Shenkar), Pioo Pioo became an overnight phenomenon in Israeli fashion. Since 2020 every piece is made to order — you become a design partner in your own garment. Exclusive, creative, utterly original.",https://pioopioo.com/cdn/shop/files/IMG_1777_a6547564-0cac-4e5f-8707-cbb31f6e5171.jpg?v=1748971395&width=720,
Lazyeyeppl,https://lazyeyeppl.com,"Streetwear, Artisan","A Tel Aviv label with a distinctive editorial eye — considered, original Israeli fashion that refuses easy categorisation.",https://lazyeyeppl.com/cdn/shop/files/lazy_eye_8_2_26232840.jpg?v=1770804433,
Kedem Sasson,https://www.kedem-sasson.com,"Artisan, Luxury","Dramatic, sculptural Israeli womenswear — Kedem Sasson designs garments that command a room, with architectural precision and an unapologetic sense of theatre.",https://www.kedem-sasson.com/wp-content/uploads/2026/03/p47-pur.webp,
Kimka Studio,https://kimka-studio.com/,"Artisan, Sustainable, Heritage","Kim Dror's studio specialises in indigo-dyed clothing and textiles, informed by traditional Japanese mastery and global indigo cultures. Clothing, accessories, and home objects crafted in Haifa with radical care.",https://kimka-studio.com/cdn/shop/products/Kimka_-572_1024x1024.jpg?v=1644521255,
Lara Rosnovsky,https://www.lararosnovsky.com/,"Artisan, Prints, Swimwear","Kimono-inspired, colourful, and deeply feminine — Lara Rosnovsky's patterned loungewear and beachwear bring a romantic, painterly quality to the Israeli wardrobe.",https://cdn.shopify.com/s/files/1/0036/2083/1301/files/20240409_091330.jpg?v=1718518881,
Layou,https://layoudesign.com/,"Minimalist, Artisan","Size-inclusive Israeli womenswear built on oversize silhouettes, textured fabrics, and considered minimalism — designed for real wardrobes, real women, and the full spectrum of occasions.",https://layoudesign.com/cdn/shop/files/LAYOU7313102.jpg?v=1757712998&width=700,
Liah by Liat Raziel,https://www.liah-online.com/,"Artisan, Prints","Liat Raziel designs from a belief that fashion is both a necessity and self-expression. Liah pieces are comfortable, tactile, and joyful - women's wear that makes you feel exactly like yourself.",https://www.liah-online.com/cdn/shop/files/081A1393.jpg?v=1746905462&width=1445,
Macchia Studio,https://macchiastudio.com/,"Activewear, Sustainable, Artisan","Natural tie-dye, organic fabrics, and ethically produced activewear and loungewear - Macchia Studio blends an earthy, free-spirited aesthetic with a conscious approach to production.",https://macchiastudio.com/cdn/shop/files/SHP_2207_1100x.jpg?v=1768990914,
Madam Bubu,https://madambubu.com/,"Artisan, Minimalist","Relaxed, achromatic, and body-celebrating - Madam Bubu designs clothes that feel like they already know you. Generous sizing (38–46), premium fabrics, and an aesthetic rooted in personal honesty.",https://madambubu.com/wp-content/uploads/2025/10/MADAM_BUBU_1750-683x1024.jpg,
Jessa Grey,https://jessagrey.com/,"Minimalist, Artisan","Size-inclusive Israeli basics — oversized, comfortable, and endlessly versatile. Jessa Grey designs for the wardrobe foundation: the pieces you reach for every day without thinking.",https://jessagrey.com/cdn/shop/files/JESA_GREY_0020_2048x2048.jpg?v=1773505649,
Karen Mizrahi,https://karenmizrahi.co.il/,"Artisan, Luxury","Israeli womenswear for day and night — elegant, wearable, and considered. Karen Mizrahi designs with confidence and a deep understanding of the modern woman's wardrobe.",https://karenmizrahi.co.il/cdn/shop/files/karen59486.jpg?v=1763364640&width=3000,
Karen Shavit,https://karen-shavit.com/,"Prints, Artisan","Fun, colourful, and size-inclusive Israeli womenswear with a joyful, optimistic spirit. Karen Shavit designs for real women who want to be noticed — and to feel good doing it.",https://karen-shavit.com/cdn/shop/files/1_fa3d181f-42b0-4a6d-927a-5b535668b8f6_1285x1799.jpg?v=1757927964,
Gartenbanken Shoes,https://gartenbankshoes.com/,Accessories,"Israeli-designed women's shoes and sandals — considered, wearable, and crafted for the streets of Tel Aviv.",https://gartenbankshoes.com/cdn/shop/files/GARTEMBANK__0013_1200x.jpg?v=1685833826,
Kisim,https://kisim.com/he/,Accessories,"Bags, wallets, purses, and backpacks with a distinctive Israeli design sensibility — functional objects made beautiful.",https://kisim.com/wp-content/uploads/2025/05/%D7%9E%D7%AA%D7%A7%D7%A4%D7%9C-%D7%9B%D7%A4%D7%95%D7%9C-%D7%9C%D7%95%D7%A7%D7%91%D7%95%D7%A7-17.webp,
The Little Camel,https://thelittlecamel.co.il/,"Accessories, Artisan","Colourful, artsy wallets, purses, and accessories with a handcrafted Israeli soul — small objects with a big personality.",https://thelittlecamel.co.il/cdn/shop/files/424_1200x.jpg?v=1656921760,
Justine Hats,https://justinehats.com/,"Accessories, Artisan",Israeli millinery — handcrafted hats for every occasion and every mood.,https://justinehats.com/wp-content/uploads/2023/03/black-fashion-visor-ha-for-women-2.jpg,
Take a Nap,https://takeanap.co.il/,"Activewear, Minimalist","Soft, minimalist loungewear and homewear in beautifully textured fabrics designed for the sacred moments of rest.",https://takeanap.co.il/cdn/shop/files/2025_10_23_NAP14668.jpg?v=1761659855&width=700,
Shirly Halperin,https://www.shirlyhalperin.com/,"Artisan, Minimalist","Founded in 2004 on Zamnehoff Street, Tel Aviv — a small independent label grown into a unique clothing and lifestyle brand. Classical, clean-cut, simple, and comfortable clothes for women, and occasionally men and children.",https://images.squarespace-cdn.com/content/v1/5aa5328f0dbda33f405240b1/1721348790873-Y0YYX8ILAFGRQO3JIANK/8205F3A7-299C-4147-9A46-6908F9408B65.jpeg?format=750w,
Maayan Paz,https://maayanpaz.co.il/,"Minimalist, Artisan","Israeli womenswear since 2012 — minimalist lines, flattering cuts, and luxurious fabrics. Maayan Paz designs the effortlessly polished wardrobe: day-to-evening pieces made in Israel with uncompromising quality.",https://maayanpaz.co.il/cdn/shop/files/new_arrivals.jpg?v=1776327710&width=3200,
Kid A,https://thisiskida.com/,"Minimalist, Artisan, Prints",Size-inclusive basics and bold prints — Kid A is for the Israeli woman who believes in comfort as a political act.,https://thisiskida.com/wp-content/uploads/2024/05/kid-a-4.6.24-1705.jpg,
Haia,https://www.haia.co.il/,Artisan,"Contemporary Israeli womenswear with a considered, creative approach.",https://www.haia.co.il/cdn/shop/products/image_354a24a0-8109-415a-a29a-35704df586ab.jpg?v=1666088944,
Roni Bar,https://www.ronibar.com/,"Artisan, Minimalist","Wear Yourself - Roni Bar's Tel Aviv studio (84 Ben Zvi Rd) crafts womenswear that moves with its wearer. Clean silhouettes, quality fabrics, and a quiet confidence across tops, pants, dresses, and skirts.",https://www.ronibar.com/wp-content/uploads/2023/05/0t8a2110-scaled.jpeg,
Chopshop Corp,https://www.chopshop.co.il/,"Streetwear, Prints, Menswear","Unorganized. Unruly. Unmissable. Tel Aviv's cult street clothing brand with stores on Dizengoff, Bograshov, Sheinkin and Simtat Hashuk — graphic tees, wide-leg pants, merch, and a fanzine that keeps the culture alive.","https://static.wixstatic.com/media/64d6e6_971d8318d23a4d0e8d3c73cabf67a858~mv2.jpg/v1/fill/w_980,h_980,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/64d6e6_971d8318d23a4d0e8d3c73cabf67a858~mv2.jpg",
Plazmalab,https://plazmalab.com/,"Streetwear, Prints, Activewear","An artist collective making psychedelic and urban tribe clothing - handmade in-house with a true passion for art. Trance-inspired prints, festival-ready hoodies, kimonos, pareos, and more. Abstract designs and wearable art from the lab.",https://cdn.modulus.co.il//plazmalab/www.plazmalab.com/images/GRID%20THEORY%20BROWN%20TD_0005_Layer%2084.jpg?width=1000&height=1200&mode=pad,
Pattern Streetwear,https://patternstreetwear.com/,"Streetwear, Prints",Streetwear rooted in bold pattern and graphic design - standout pieces for those who wear their personality on their sleeve.,https://patternstreetwear.com/cdn/shop/files/IMG_11504.jpg?v=1774988584&width=1400,
The Freeder,https://thefreeder.com/,"Streetwear, Activewear","Born from a dancer's borrowed basketball pants — baggy, practical, with big pockets. FREEDÉR blends 90s coolness with 21st-century finesse: sportswear that moves between the studio, the court, and the street. Live the team spirit. Move freely, lightly, boldly.",https://thefreeder.com/cdn/shop/files/3039c56673c093e5eeb0ba9bd74d58a7.png?v=1762510043,
Razili,https://www.razili.co.il/,"Artisan, Minimalist","Israeli womenswear with a clean, confident identity — considered design rooted in quality craftsmanship and an understated, elegant aesthetic.",https://www.razili.co.il/cdn/shop/files/razili14-8-9430.jpg?v=1723725390&width=1800,
TRES TLV,https://trestlv.com/,"Streetwear, Artisan, Jewelry","Tel Aviv contemporary label spanning T-shirts, denim, blazers, dresses, and jewellery. Two flagship stores on Ahad Haam and Neot Afeka - TRES has built a loyal community around clean, wearable Israeli design.",https://trestlv.com/cdn/shop/files/TRES9.3.2610788.jpg?v=1773160140&width=1080,
Hadas Mor,https://hadasmor.com/,"Lingerie, Swimwear","Breathing Lingerie — a thoughtful Israeli lingerie brand based in Pardes Hanna. Hadas Mor designs bras, bodysuits, swimwear, and underwear with a focus on comfort, femininity, and the kind of beauty that breathes.",https://hadasmor.com/cdn/shop/files/DSC07717.jpg?v=1769592226&width=5000,
SAAG,https://saag.co.il/,"Artisan, Streetwear, Accessories","Contemporary womenswear and accessories - tops, dresses, pants, skirts, and a strong accessories offering including hats, bags, and earrings. Fresh, approachable, and consistently on point.",https://saag.co.il/wp-content/uploads/2025/02/ttyg-82-scaled.jpg,
Tula,https://tula-tula.com/,"Artisan, Size Inclusive","Tula by Danielle Maoz, everyday womenswear, relaxed silhouettes, great pants, and a seasonal optimism. Designed and produced in Israel from Emek Hefer.",https://tula-tula.com/cdn/shop/files/spring_26_cover_1280x.jpg?v=1774461209,
Inhale Exhale,https://www.inhaleexhale.co.il/,"Sustainable, Artisan, Activewear","Israel's first yoga muslin blanket — soft, natural, breathable. Inhale Exhale creates yoga blankets, shawls, pareos, and T-shirts printed with original illustrations by Israeli women artists. Designed and made in Israel with ecological printing technology.","https://static.wixstatic.com/media/2bd9a3_d0c79b8b3abe43dbb0661bb2a0d42769~mv2.jpg/v1/fill/w_640,h_360,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/2bd9a3_d0c79b8b3abe43dbb0661bb2a0d42769~mv2.jpg",
Ripple Yoga Wear,https://rippleyogawear.com/,"Activewear, Sustainable, Minimalist","Yoga and movement wear designed for flow - soft, breathable fabrics in calm, considered palettes for studio and everyday.",https://rippleyogawear.com/cdn/shop/files/IMG_4231_2048x.jpg?v=1707993718,
Miss Nori,https://missnori.com/,"Artisan, Minimalist","Easy, wearable pieces with a soft, feminine sensibility and considered everyday silhouettes.",https://missnori.com/cdn/shop/files/2025_01_21-MN46178.jpg?v=1769020710&width=1800,
Vered Grebelsky,https://www.veredgrebelsky.com/,"Slow Fashion, Functional","Slow-fashion womenswear made in Israel - functional pieces meant to live in a wardrobe for years. Fabric folds, hand embroidery, versatile cuts that wear multiple ways, and a generous size range.",https://www.veredgrebelsky.com/cdn/shop/files/IMG_0214-Edit_1800x1800.jpg?v=1711366715,
Nataly Shevilly,https://natalyshevilly.co.il/,"Artisan, Luxury","Designer label by Nataly Shevilly - elegant, occasion-ready pieces with a feminine, considered hand.",https://natalyshevilly.co.il/wp-content/uploads/2026/05/372103-1.jpg,
Dorit Sade,https://www.doritsade.com/,Artisan,Israeli womenswear with quiet originality — Dorit Sade designs for women who dress with intention and wear their clothes on their own terms.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1dJoT9yJ3g_pCnpMe1TO8udfM6LgLGPN6Dg&s,
Gelada,https://flygelada.com/,"Artisan, Minimalist",Cool tshirt prints and more,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.6435-9/38085937_1922703217794266_150900205611384832_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=13d280&_nc_ohc=GnG3t3iFYgUQ7kNvwE_KNPv&_nc_oc=AdpuGWPHTGsn6pV9zQN_D9eDzMV7EMhuGJNNJyNjUStvDXXd_1jL2ydKtFSi3CVQE4z8ffa5wYdNPefpg0K2SjZj&_nc_zt=23&_nc_ht=scontent.ftlv5-1.fna&_nc_gid=cV9Djk6wPC1iZZQlsjoplA&_nc_ss=7b2a8&oh=00_Af5G4S6seNH6oJYOIGRBqpq-U8EfMvQkDm9xCGrE8jz2rA&oe=6A2554CF,
Con.fail,https://www.con.fail/,"Streetwear, Artisan","Israeli label working in a streetwear-meets-conceptual register — playful, slightly off-kilter pieces that break the rules on purpose. (by Claude)",https://images.squarespace-cdn.com/content/v1/6348fddd5b3c37055ef9a9ca/c529e4f3-f172-4a11-b57a-665d9586178b/DR_02.jpg?format=750w,
Maya Negri,https://mayanegri.com/,"Artisan, Minimalist","Israeli womenswear designer creating soft, considered silhouettes with a quiet, contemporary hand.",https://mayanegri.com/cdn/shop/files/E1B4B2FD-5361-4EDA-92B0-57833D1F48EE_1350x1800.jpg?v=1776700300,
Mishi,https://mishi.style/,"Artisan, Minimalist","Israeli label Mishi - easy, considered everyday pieces with a clean, modern silhouette. (by Claude)",https://mishi.style/cdn/shop/files/WhatsAppImage2026-04-28at19.38.54_5_1800x1800.jpg?v=1777406798,
Nina by Mili,https://www.ninabymili.com/,"Artisan, Minimalist","Soft, feminine sensibility and contemporary tailoring.",https://www.ninabymili.com/cdn/shop/files/Untitled_800x1200px_800x1200px_23.jpg?v=1773861711,
Keren Wolf,https://kerenwolf.co.il/,"Accessories, Artisan","Keren Wolf — Israeli accessories label known for handcrafted bags and shoes with a sculptural, contemporary point of view.",https://kerenwolf.co.il/cdn/shop/files/KW_1800_800_copy_5_3ba06fac-fc81-4cf8-9df3-29b7d539250e_2000x.jpg?v=1765453226,
